Last name,First name,Full name,Countries,born,died
Zvorykina,Kira,Kira Zvorykina,"Ukraine,Russia,Belarus",1919,2014
Lalić,Bogdan,Bogdan Lalić,"Yugoslavia/Croatia,England",1964,
Kong,Wong Meng,Wong Meng Kong,Singapore,1963,
Lane,Lisa,Lisa Lane,US,1938,
Stern,Adolf,Adolf Stern,Germany,1849,1907
Purdy,John,John Purdy,Australia,1935,2011
Bronstein,David,David Bronstein,Ukraine,1924,2006
Pomar,Arturo,Arturo Pomar,Spain,1931,2016
Wijnans,Arthur,Arthur Wijnans,"Indonesia,Netherlands",1920,1945
Aurbach,Arnold,Arnold Aurbach,"Poland,France",c. 1888,c. 1952
Stein,Leonid,Leonid Stein,Ukraine,1934,1973
Khalifman,Alexander,Alexander Khalifman,Russia,1966,
Marinello,Beatriz,Beatriz Marinello,Chile,1964,
Macieja,Bartłomiej,Bartłomiej Macieja,Poland,1977,
Vovk,Andrey,Andrey Vovk,Ukraine,1991,
Heisman,Dan,Dan Heisman,US,1950,
Smith,Stephen Francis,Stephen Francis Smith,"Canada,England",1861,1928
Dominik,Józef,Józef Dominik,Poland,1894,1920
Medina,Antonio,Antonio Medina,Spain,1919,2003
Alekhine,Grace,Grace Alekhine,"US,England,France",1876,1956
Teschner,Rudolf,Rudolf Teschner,Germany,1922,2006
Allgaier,Johann Baptist,Johann Baptist Allgaier,"Germany,Austria",1763,1823
Ibragimov,Ildar,Ildar Ibragimov,"Russia,US",1967,
Glek,Igor,Igor Glek,"Russia,Germany",1961,
Kuzmin,Gennady,Gennady Kuzmin,Russia,1946,
Rapport,Richárd,Richárd Rapport,Hungary,1996,
Moroz,Alexander,Alexander Moroz,Ukraine,1961,2009
Rahman,Ziaur,Ziaur Rahman,Bangladesh,1974,
Polugaevsky,Lev,Lev Polugaevsky,"Belarus,Russia",1934,1995
Georgiev,Krum,Krum Georgiev,Bulgaria,1958,
Akhsharumova,Anna,Anna Akhsharumova,"Russia,US",1957,
Foreest,Arnold van,Arnold van Foreest,Netherlands,1863,1954
Falk,Raphael,Raphael Falk,Russia,1856,1913
Adianto,Utut,Utut Adianto,Indonesia,1965,
Pokorný,Amos,Amos Pokorný,Czechoslovakia,1890,1949
Kochyev,Alexander,Alexander Kochyev,Russia,1956,
Piket,Jeroen,Jeroen Piket,Netherlands,1969,
Romanishin,Oleg,Oleg Romanishin,Ukraine,1952,
Takács,Sándor,Sándor Takács,Hungary,1893,1932
Billecard,Maurice,Maurice Billecard,France,1876,?
Voellmy,Erwin,Erwin Voellmy,Switzerland,1886,1951
Blumenfeld,Benjamin,Benjamin Blumenfeld,"Belarus,Russia",1884,1947
Marović,Dražen,Dražen Marović,Croatia,1938,
Kasimdzhanov,Rustam,Rustam Kasimdzhanov,Uzbekistan,1979,
Foreest,Dirk van,Dirk van Foreest,Netherlands,1862,1956
Hasenfuss,Wolfgang,Wolfgang Hasenfuss,Latvia,1900,1944
